trial,sensortag,model_kind,window_ms,rmse_%BW,mae_%BW,rmse_N,mae_N,metrics_path,outdir,rmse_num,lag_samples,lag_ms,within_cap,path
AB01_dynamic_walk_1_butt-kicks,rathigh,hgb,300,25.055140779195742,7.328692199683992,193.86282009829463,56.70536637506448,E:\safestride\out_grid\AB01\AB01_dynamic_walk_1_butt-kicks_rathigh_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_dynamic_walk_1_butt-kicks_rathigh_hgb_w300,25.055140779195742,,,,
AB01_dynamic_walk_1_butt-kicks,lpelvis,hgb,300,25.40563586267709,6.023220264636456,196.57475717791792,46.60434666346752,E:\safestride\out_grid\AB01\AB01_dynamic_walk_1_butt-kicks_lpelvis_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_dynamic_walk_1_butt-kicks_lpelvis_hgb_w300,25.40563586267709,,,,
AB01_cutting_1_left-fast,lshank,hgb,300,26.340512576737265,8.269838782509963,203.80831606426116,63.98743803773954,E:\safestride\out_grid\AB01\AB01_cutting_1_left-fast_lshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB01\AB01_cutting_1_left-fast_lshank_hgb_w300,26.340512576737265,0.0,0.0,True,C:\Users\locha\Documents\safestride\data\working\AB01_cutting_1_left-fast_grf_active_shifted.csv.lag.json
AB02_ball_toss_1_left,rshank,hgb,300,33.475032098567226,10.88106369615995,259.0112816647079,84.19165202050218,E:\safestride\out_grid\AB02_ball_toss_1_left_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_ball_toss_1_left_rshank_hgb_w300,33.475032098567226,,,,
AB02_cutting_1_left-fast,rshank,hgb,300,26.519269088921025,9.97672354650244,205.19143507637435,77.19436817820613,E:\safestride\out_grid\AB02_cutting_1_left-fast_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_cutting_1_left-fast_rshank_hgb_w300,26.519269088921025,0.0,0.0,True,C:\Users\locha\Documents\safestride\data\working\AB02_cutting_1_left-fast_grf_active_shifted.csv.lag.json
AB02_cutting_1_left-slow,rshank,hgb,300,27.656237489142107,9.728077108129597,213.9886676432145,75.27047957685444,E:\safestride\out_grid\AB02_cutting_1_left-slow_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_cutting_1_left-slow_rshank_hgb_w300,27.656237489142107,,,,
AB02_cutting_1_right-fast,rshank,hgb,300,30.13219346863288,10.92283722243318,233.146245437464,84.51487245977836,E:\safestride\out_grid\AB02_cutting_1_right-fast_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_cutting_1_right-fast_rshank_hgb_w300,30.13219346863288,,,,
AB02_cutting_1_right-slow,rshank,hgb,300,26.516512645116592,10.423839541079856,205.17010723894256,80.65390442203378,E:\safestride\out_grid\AB02_cutting_1_right-slow_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_cutting_1_right-slow_rshank_hgb_w300,26.516512645116592,,,,
AB02_jump_1_2_hop,rshank,hgb,300,31.46847664766733,11.234781056668355,243.48566551179212,86.92852129735823,E:\safestride\out_grid\AB02_jump_1_2_hop_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_jump_1_2_hop_rshank_hgb_w300,31.46847664766733,,,,
AB02_jump_1_2_vertical,rshank,hgb,300,34.939829575000545,11.995709185809291,270.3450742846248,92.81616225325617,E:\safestride\out_grid\AB02_jump_1_2_vertical_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_jump_1_2_vertical_rshank_hgb_w300,34.939829575000545,,,,
AB02_lift_weight_1_25lbs-l-c,rshank,hgb,300,40.023084396404215,14.57503586315865,309.67648829024193,112.77356532803392,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-l-c_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-l-c_rshank_hgb_w300,40.023084396404215,,,,
AB02_lift_weight_1_25lbs-l-l,rshank,hgb,300,48.702785769142665,21.35241827516164,376.8352163356778,165.21320152303187,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-l-l_rshank_hgb_w300\eval\metrics_eval.json,E:\safestride\out_grid\AB02_lift_weight_1_25lbs-l-l_rshank_hgb_w300,48.702785769142665,,,,
