trial_id,start_idx,rmse,mae,pearson_r,bias,stderr,nrmse,nrmse_bw,y_true_median_abs,y_pred_median_abs
gt_small_017,1792,526.5423171981007,434.5048585385084,0.6340828288658299,-174.58988781273365,496.7546505810312,0.48895079301366035,0.7156538460048939,1076.8820190429688,679.7003479003906
gt_small_017,1920,462.6016402716278,380.01245403289795,0.6911383570735614,-84.98527693748474,454.7282488320464,0.5067330676667431,0.6287484067572243,912.909912109375,698.4385681152344
gt_small_017,2048,440.5235694589699,356.9233999848366,0.7282006094398572,-105.06714028120041,427.8106021150042,0.5801610224220467,0.5987408351464083,759.3125915527344,616.8375244140625
gt_small_017,2176,532.0750056290326,424.3212623745203,0.6426955553579463,-210.9164485782385,488.4854791437289,0.513686054438649,0.7231736399986851,1035.7980346679688,624.9852294921875
gt_small_017,2304,553.8012906499933,443.5111309289932,0.6017871291193803,-209.98287332057953,512.4481070680541,0.5896577661356983,0.7527030793747785,939.1910400390625,573.9217224121094
gt_small_017,2432,528.0833297256312,420.7953586727381,0.6351948800224486,-186.37527786195278,494.1014662354176,0.7558071992805524,0.7177483244656897,698.7011108398438,520.5888366699219
gt_small_017,2560,547.713728749591,439.1527316123247,0.5878859378815452,-191.27274803817272,513.2300308036411,0.5519853487617409,0.7444291250419178,992.2613525390625,624.4139404296875
gt_small_017,2688,497.3545790875778,395.3238808363676,0.6507411146439814,-111.34508617222309,484.7306975266596,0.5227784461545859,0.6759831180259297,951.3677978515625,710.1869201660156
gt_small_017,2816,434.481259846161,342.97451005876064,0.7534131657838767,-81.0061042457819,426.86294783270745,0.6446749967126951,0.5905283857915882,673.9539489746094,647.4407043457031
gt_small_017,2944,511.6078884419411,400.1191165447235,0.6614040349005469,-180.44957721233368,478.7280873313281,0.5469447809380251,0.6953556078042012,935.3922119140625,603.3924560546875
gt_small_017,3072,551.8772739462567,440.50200340151787,0.6137911462933309,-186.67962899804115,519.3450121215235,0.5795803961831169,0.7500880379833593,952.201416015625,583.5286560058594
gt_small_017,3200,532.5474859800877,425.5804323852062,0.6542416925272345,-150.20241525769234,510.9266672179751,0.8194345542998099,0.7238158151275402,649.8963012695312,553.3686828613281
gt_small_017,3328,526.2217867676162,429.440856307745,0.6798574859052848,-184.00254079699516,493.0034825933309,0.574405308368392,0.7152181947232297,916.1158142089844,647.1980895996094
gt_small_017,3456,511.8314604906154,414.05023650825024,0.7030348423537256,-146.92653389275074,490.28974860404617,0.5280601236720865,0.6956594773912544,969.2673950195312,726.3361206054688
gt_small_017,3584,474.96024260019647,382.4697999507189,0.7507045117681566,-73.41164676845074,469.2525569132061,0.805644186200058,0.6455456916074706,589.5409545898438,633.4365844726562
gt_small_017,3712,507.0678610114425,407.8746602833271,0.7108610658822427,-151.76172563433647,483.8245490911018,0.5884527346757997,0.6891849962778696,861.6968383789062,666.3378295898438
gt_small_018,0,270.81796819004165,217.3191767334938,0.7901123948493071,-32.366351902484894,268.8769070766527,0.3669364644089358,0.3680842245192547,738.0513916015625,531.6940002441406
gt_small_018,128,273.09547725235694,214.74404924362898,0.7673737517697732,29.63368182629347,271.4829361066927,0.6666933825804433,0.37117971763826973,409.6268005371094,436.8358459472656
gt_small_018,256,280.20670333230066,224.97969917953014,0.7365555797026389,45.99961821734905,276.40519480685253,0.4801762084132371,0.3808449926364943,583.5497436523438,490.2771301269531
gt_small_018,384,242.0450124391445,199.92182452231646,0.8296652332879404,-13.839538507163525,241.64903314636777,0.32389282128930236,0.32897725102160313,747.2997131347656,567.9067687988281
gt_small_018,512,254.98296753591598,210.26690538227558,0.8215578501950653,20.651581957936287,254.14528501637923,0.8535735872007302,0.3465619674290397,298.72406005859375,377.77845764160156
gt_small_018,640,247.23358349891183,194.75227074325085,0.8060614059428113,4.299405500292778,247.19619722410266,0.33773511155206254,0.3360293353705903,732.0339965820312,541.2261657714844
gt_small_018,768,246.3648384010855,199.7704936042428,0.8295079254748249,44.73830208927393,242.26868952995525,1.2727014432253667,0.3348485741095284,193.57630157470703,325.8948669433594
gt_small_018,896,283.77794660918494,231.71309800446033,0.7219525710947835,3.576362445950508,283.7554098398489,0.38660249457859686,0.38569887408655784,734.0303039550781,476.3932647705078
gt_small_018,1024,238.47407752446153,191.5051309093833,0.8129814834909938,18.61631216853857,237.74633240575218,0.39713974338680125,0.32412378868428343,600.47900390625,473.1875457763672
gt_small_018,1152,255.86049554593959,212.44321079552174,0.8041445732682893,49.37154312431812,251.0518749392989,0.9287563905304942,0.34775466604952715,275.48719787597656,389.3466033935547
gt_small_018,1280,259.34953990486514,211.37363321334124,0.7767022441761557,-19.313629917800426,258.62940194081466,0.3403609378214838,0.3524968262383488,761.9838562011719,581.2594299316406
gt_small_018,1408,250.22599223778508,212.10187961906195,0.8213468026030514,14.212245248258114,249.82205522408833,0.9234271670967092,0.3400964896198234,270.975341796875,373.5124206542969
gt_small_018,1536,269.8804738648153,229.70196402817965,0.7740388058134111,-48.54878758639097,265.4778435150262,0.3402699062533097,0.3668100222423586,793.136474609375,517.0433654785156
gt_small_018,1664,241.31476695708585,200.9458610713482,0.8228455889875446,0.494852751493454,241.31425957101456,0.4654142625703005,0.32798473252746974,518.4945678710938,437.4030303955078
gt_small_018,1792,259.9484106284765,216.0574258044362,0.7806622020743119,36.42471105605364,257.3837924438018,0.45608761901165223,0.35331078576755215,569.9527893066406,455.40806579589844
gt_small_018,1920,241.95011566963854,202.0346802920103,0.8253042689670776,-8.615560606122017,241.7966719952814,0.31820439920382276,0.32884827138245126,760.3606872558594,556.3297729492188
gt_small_018,2048,239.0618467472172,197.91220815479755,0.8350723278404933,53.48990996181965,233.00085000374227,1.13154684684306,0.3249226595273085,211.26995086669922,373.1057891845703
gt_small_018,2176,232.3363109587292,190.54582819342613,0.8288371863262178,18.515613168478012,231.5973520118626,0.31126896409896115,0.3157815983129177,746.4165649414062,549.4828796386719
gt_small_018,2304,232.2590088624869,193.33532662689686,0.8576799396509305,15.298547580838203,231.7546151421835,0.9804165276202111,0.31567653260276846,236.89830017089844,340.79852294921875
gt_small_018,2432,250.21317616447323,201.31787083297968,0.8137057966853034,-32.658481262624264,248.07268517096463,0.3253141805554006,0.3400790705599364,769.1431579589844,510.34033203125
gt_small_018,2560,219.91428668840786,180.4855070784688,0.8644904648153413,25.178803987801075,218.46812426396474,0.5067795885649189,0.2988981130661337,433.94464111328125,424.35687255859375
gt_small_018,2688,263.9856838952493,218.2304072752595,0.7844943240245874,64.95641008764505,255.8693144755114,0.6890188397599896,0.35879807529085866,383.13275146484375,458.6451416015625
gt_small_018,2816,244.6604436504356,198.68134412914515,0.8185610545594032,22.553674675524235,243.61868656952117,0.3216629490857489,0.33253203350382005,760.6112060546875,608.5898742675781
gt_small_018,2944,237.20651673972185,188.97883739322424,0.8454221426313892,64.14422907680273,228.36910793698567,1.4876022538654117,0.3224009741620413,159.45560455322266,384.11219787597656
gt_small_018,3072,244.38818429756833,186.48085097968578,0.8044958448657764,23.161021277308464,243.28820710764893,0.3230940039488429,0.33216199021076226,756.3996276855469,605.6912536621094
gt_small_018,3200,223.11006511116256,182.98409552127123,0.8634194542986205,34.68343157321215,220.39773303782755,1.134826497106221,0.30324167871038066,196.60279846191406,345.58522033691406
gt_small_018,3328,259.35083847769874,210.78012240678072,0.7979381046531493,-34.51842152327299,257.0434515692377,0.3415523655293728,0.3524985912031244,759.3296508789062,478.08404541015625
gt_small_018,3456,229.60824257220392,182.46882922947407,0.8486805836986189,-17.670959755778313,228.9272422373661,0.385499554080495,0.31207372418920004,595.6122131347656,449.1663513183594
gt_small_018,3584,255.3220472181588,208.06456354260445,0.8063853507273959,-0.9430869519710541,255.3203054648665,0.5646663332366798,0.3470228300620575,452.1644592285156,407.82456970214844
